STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN020020300,"CUDDALORE, IN",1/1/1990,0.51,78,,72
IN020020300,"CUDDALORE, IN",1/2/1990,0.03,78,84,71
IN020020300,"CUDDALORE, IN",1/3/1990,0,78,84,69
IN020020300,"CUDDALORE, IN",1/4/1990,0,77,,71
IN020020300,"CUDDALORE, IN",1/5/1990,0,77,83,69
IN020020300,"CUDDALORE, IN",1/6/1990,0.3,73,,68
IN020020300,"CUDDALORE, IN",1/7/1990,1.94,77,80,72
IN020020300,"CUDDALORE, IN",1/8/1990,1.06,78,83,
IN020020300,"CUDDALORE, IN",1/9/1990,0.02,77,83,70
IN020020300,"CUDDALORE, IN",1/10/1990,0,77,,69
IN020020300,"CUDDALORE, IN",1/11/1990,0,77,84,68
IN020020300,"CUDDALORE, IN",1/12/1990,0,73,83,65
IN020020300,"CUDDALORE, IN",1/13/1990,,76,87,62
IN020020300,"CUDDALORE, IN",1/14/1990,,77,89,61
IN020020300,"CUDDALORE, IN",1/15/1990,1.18,72,,62
IN020020300,"CUDDALORE, IN",1/16/1990,0,74,83,62
IN020020300,"CUDDALORE, IN",1/17/1990,0,73,83,64
IN020020300,"CUDDALORE, IN",1/18/1990,0,74,,63
IN020020300,"CUDDALORE, IN",1/19/1990,0,73,84,61
IN020020300,"CUDDALORE, IN",1/20/1990,0,74,90,60
IN020020300,"CUDDALORE, IN",1/21/1990,0,78,90,
IN020020300,"CUDDALORE, IN",1/22/1990,0,72,87,63
IN020020300,"CUDDALORE, IN",1/23/1990,0,75,85,66
IN020020300,"CUDDALORE, IN",1/24/1990,0,76,,65
IN020020300,"CUDDALORE, IN",1/25/1990,0,76,85,66
IN020020300,"CUDDALORE, IN",1/26/1990,0,76,85,64
IN020020300,"CUDDALORE, IN",1/27/1990,0,75,85,65
IN020020300,"CUDDALORE, IN",1/28/1990,0,77,85,68
IN020020300,"CUDDALORE, IN",1/29/1990,0,76,86,69
IN020020300,"CUDDALORE, IN",1/30/1990,0,78,85,67
IN020020300,"CUDDALORE, IN",1/31/1990,0,76,86,
IN020020300,"CUDDALORE, IN",2/1/1990,0,76,85,65
IN020020300,"CUDDALORE, IN",2/2/1990,0,76,84,65
IN020020300,"CUDDALORE, IN",2/3/1990,0,78,86,66
IN020020300,"CUDDALORE, IN",2/4/1990,0,76,,65
IN020020300,"CUDDALORE, IN",2/5/1990,0,76,86,65
IN020020300,"CUDDALORE, IN",2/6/1990,0,77,85,65
IN020020300,"CUDDALORE, IN",2/7/1990,0,76,,68
IN020020300,"CUDDALORE, IN",2/8/1990,0.01,79,87,71
IN020020300,"CUDDALORE, IN",2/9/1990,0,80,86,70
IN020020300,"CUDDALORE, IN",2/10/1990,0,80,87,71
IN020020300,"CUDDALORE, IN",2/11/1990,0,81,87,
IN020020300,"CUDDALORE, IN",2/12/1990,0,80,87,71
IN020020300,"CUDDALORE, IN",2/13/1990,0,80,,
IN020020300,"CUDDALORE, IN",2/14/1990,0,80,87,71
IN020020300,"CUDDALORE, IN",2/15/1990,0,79,87,70
IN020020300,"CUDDALORE, IN",2/16/1990,0,81,,74
IN020020300,"CUDDALORE, IN",2/17/1990,0,83,88,76
IN020020300,"CUDDALORE, IN",2/18/1990,0.04,82,88,76
IN020020300,"CUDDALORE, IN",2/19/1990,0,82,87,
IN020020300,"CUDDALORE, IN",2/20/1990,0.06,81,88,72
IN020020300,"CUDDALORE, IN",2/21/1990,0,83,93,76
IN020020300,"CUDDALORE, IN",2/22/1990,0,83,,73
IN020020300,"CUDDALORE, IN",2/23/1990,0,82,90,74
IN020020300,"CUDDALORE, IN",2/24/1990,0,84,91,75
IN020020300,"CUDDALORE, IN",2/25/1990,0,84,93,75
IN020020300,"CUDDALORE, IN",2/26/1990,0,83,91,73
IN020020300,"CUDDALORE, IN",2/28/1990,0,84,90,
IN020020300,"CUDDALORE, IN",3/1/1990,0,82,90,
IN020020300,"CUDDALORE, IN",3/2/1990,0,82,89,72
IN020020300,"CUDDALORE, IN",3/3/1990,0,85,95,75
IN020020300,"CUDDALORE, IN",3/4/1990,0,83,91,75
IN020020300,"CUDDALORE, IN",3/5/1990,0,85,89,76
IN020020300,"CUDDALORE, IN",3/6/1990,0,84,91,75
IN020020300,"CUDDALORE, IN",3/7/1990,0,84,91,76
IN020020300,"CUDDALORE, IN",3/8/1990,0,83,92,75
IN020020300,"CUDDALORE, IN",3/9/1990,1.08,82,89,73
IN020020300,"CUDDALORE, IN",3/10/1990,0,81,102,
IN020020300,"CUDDALORE, IN",3/11/1990,0.23,82,88,74
IN020020300,"CUDDALORE, IN",3/12/1990,0,83,89,
IN020020300,"CUDDALORE, IN",3/13/1990,0,83,90,74
IN020020300,"CUDDALORE, IN",3/14/1990,0,85,91,
IN020020300,"CUDDALORE, IN",3/15/1990,0,85,91,77
IN020020300,"CUDDALORE, IN",3/16/1990,0,83,90,
IN020020300,"CUDDALORE, IN",3/17/1990,0,82,90,73
IN020020300,"CUDDALORE, IN",3/18/1990,0,83,89,72
IN020020300,"CUDDALORE, IN",3/19/1990,0,84,,74
IN020020300,"CUDDALORE, IN",3/20/1990,0,84,90,
IN020020300,"CUDDALORE, IN",3/21/1990,0,84,91,75
IN020020300,"CUDDALORE, IN",3/22/1990,0,84,91,
IN020020300,"CUDDALORE, IN",3/23/1990,0,84,91,75
IN020020300,"CUDDALORE, IN",3/24/1990,0,87,96,78
IN020020300,"CUDDALORE, IN",3/25/1990,0,85,95,79
IN020020300,"CUDDALORE, IN",3/26/1990,0,87,99,79
IN020020300,"CUDDALORE, IN",3/27/1990,0,83,,79
IN020020300,"CUDDALORE, IN",3/28/1990,0,86,92,79
IN020020300,"CUDDALORE, IN",3/29/1990,0,85,91,78
IN020020300,"CUDDALORE, IN",3/30/1990,0,85,91,77
IN020020300,"CUDDALORE, IN",3/31/1990,0,85,91,75
IN020020300,"CUDDALORE, IN",4/1/1990,0,84,91,
IN020020300,"CUDDALORE, IN",4/2/1990,0,84,,74
IN020020300,"CUDDALORE, IN",4/3/1990,0,87,91,
IN020020300,"CUDDALORE, IN",4/4/1990,0,87,93,79
IN020020300,"CUDDALORE, IN",4/5/1990,0,87,92,81
IN020020300,"CUDDALORE, IN",4/6/1990,0,85,92,77
IN020020300,"CUDDALORE, IN",4/7/1990,,87,92,78
IN020020300,"CUDDALORE, IN",4/8/1990,0,86,92,78
IN020020300,"CUDDALORE, IN",4/9/1990,0,86,,78
IN020020300,"CUDDALORE, IN",4/10/1990,0,86,92,79
IN020020300,"CUDDALORE, IN",4/11/1990,0,85,,
IN020020300,"CUDDALORE, IN",4/12/1990,0,86,,80
IN020020300,"CUDDALORE, IN",4/13/1990,0,86,92,78
IN020020300,"CUDDALORE, IN",4/14/1990,0,86,93,78
IN020020300,"CUDDALORE, IN",4/15/1990,0,86,93,77
IN020020300,"CUDDALORE, IN",4/16/1990,0,86,92,78
IN020020300,"CUDDALORE, IN",4/17/1990,0,88,,79
IN020020300,"CUDDALORE, IN",4/18/1990,0,85,,78
IN020020300,"CUDDALORE, IN",4/19/1990,0,90,102,78
IN020020300,"CUDDALORE, IN",4/20/1990,,88,104,81
IN020020300,"CUDDALORE, IN",4/21/1990,0,89,,79
IN020020300,"CUDDALORE, IN",4/22/1990,0,86,100,80
IN020020300,"CUDDALORE, IN",4/23/1990,0,88,100,79
IN020020300,"CUDDALORE, IN",4/24/1990,0,85,94,76
IN020020300,"CUDDALORE, IN",4/25/1990,0,90,98,77
IN020020300,"CUDDALORE, IN",4/26/1990,0,86,93,78
IN020020300,"CUDDALORE, IN",4/27/1990,0,86,,79
IN020020300,"CUDDALORE, IN",4/28/1990,0,86,,77
IN020020300,"CUDDALORE, IN",4/29/1990,,88,93,
IN020020300,"CUDDALORE, IN",4/30/1990,0,87,94,79
IN020020300,"CUDDALORE, IN",5/1/1990,0,87,94,79
IN020020300,"CUDDALORE, IN",5/2/1990,0,86,,
IN020020300,"CUDDALORE, IN",5/3/1990,0,87,,77
IN020020300,"CUDDALORE, IN",5/4/1990,0,87,95,77
IN020020300,"CUDDALORE, IN",5/5/1990,0,87,93,
IN020020300,"CUDDALORE, IN",5/6/1990,,82,93,
IN020020300,"CUDDALORE, IN",5/7/1990,0.52,78,,72
IN020020300,"CUDDALORE, IN",5/8/1990,0.73,85,92,74
IN020020300,"CUDDALORE, IN",5/9/1990,0,87,100,79
IN020020300,"CUDDALORE, IN",5/10/1990,0.11,87,94,80
IN020020300,"CUDDALORE, IN",5/11/1990,0,86,90,81
IN020020300,"CUDDALORE, IN",5/12/1990,,82,,
IN020020300,"CUDDALORE, IN",5/13/1990,0,85,,
IN020020300,"CUDDALORE, IN",5/14/1990,0,87,97,79
IN020020300,"CUDDALORE, IN",5/15/1990,0,87,98,79
IN020020300,"CUDDALORE, IN",5/16/1990,0,89,103,80
IN020020300,"CUDDALORE, IN",5/17/1990,0,92,,
IN020020300,"CUDDALORE, IN",5/18/1990,0,89,103,81
IN020020300,"CUDDALORE, IN",5/19/1990,,87,99,
IN020020300,"CUDDALORE, IN",5/20/1990,0,88,100,79
IN020020300,"CUDDALORE, IN",5/21/1990,,88,101,
IN020020300,"CUDDALORE, IN",5/22/1990,,88,101,78
IN020020300,"CUDDALORE, IN",5/23/1990,0,85,99,78
IN020020300,"CUDDALORE, IN",5/24/1990,0.08,82,94,75
IN020020300,"CUDDALORE, IN",5/25/1990,0.01,86,97,77
IN020020300,"CUDDALORE, IN",5/31/1990,,92,103,81
IN020020300,"CUDDALORE, IN",6/1/1990,0.02,89,101,79
IN020020300,"CUDDALORE, IN",6/2/1990,0,89,103,80
IN020020300,"CUDDALORE, IN",6/3/1990,,89,100,79
IN020020300,"CUDDALORE, IN",6/4/1990,0,87,100,80
IN020020300,"CUDDALORE, IN",6/5/1990,0,89,101,
IN020020300,"CUDDALORE, IN",6/6/1990,0,89,100,
IN020020300,"CUDDALORE, IN",6/7/1990,0,86,,80
IN020020300,"CUDDALORE, IN",6/8/1990,0,86,98,78
IN020020300,"CUDDALORE, IN",6/9/1990,,87,,
IN020020300,"CUDDALORE, IN",6/10/1990,0.39,87,98,75
IN020020300,"CUDDALORE, IN",6/11/1990,0,88,100,76
IN020020300,"CUDDALORE, IN",6/12/1990,0,88,,80
IN020020300,"CUDDALORE, IN",6/13/1990,,88,94,78
IN020020300,"CUDDALORE, IN",6/14/1990,0.03,88,102,76
IN020020300,"CUDDALORE, IN",6/15/1990,0,85,,
IN020020300,"CUDDALORE, IN",6/16/1990,0,91,102,
IN020020300,"CUDDALORE, IN",6/17/1990,,88,100,80
IN020020300,"CUDDALORE, IN",6/18/1990,0.13,91,103,77
IN020020300,"CUDDALORE, IN",6/19/1990,0.02,90,103,78
IN020020300,"CUDDALORE, IN",6/20/1990,0.02,86,,78
IN020020300,"CUDDALORE, IN",6/21/1990,0,89,102,78
IN020020300,"CUDDALORE, IN",6/22/1990,0,91,102,80
IN020020300,"CUDDALORE, IN",6/23/1990,,87,101,
IN020020300,"CUDDALORE, IN",6/24/1990,0,88,97,78
IN020020300,"CUDDALORE, IN",6/25/1990,0,89,101,79
IN020020300,"CUDDALORE, IN",6/26/1990,0,89,98,79
IN020020300,"CUDDALORE, IN",6/27/1990,0,88,99,80
IN020020300,"CUDDALORE, IN",6/28/1990,,86,100,
IN020020300,"CUDDALORE, IN",6/29/1990,0,88,99,75
IN020020300,"CUDDALORE, IN",6/30/1990,0,87,95,76
IN020020300,"CUDDALORE, IN",7/1/1990,0,90,101,78
IN020020300,"CUDDALORE, IN",7/2/1990,,86,99,79
IN020020300,"CUDDALORE, IN",7/3/1990,0,86,,76
IN020020300,"CUDDALORE, IN",7/4/1990,0.02,84,96,77
IN020020300,"CUDDALORE, IN",7/5/1990,0.05,85,95,77
IN020020300,"CUDDALORE, IN",7/6/1990,0,86,94,78
IN020020300,"CUDDALORE, IN",7/7/1990,,81,91,
IN020020300,"CUDDALORE, IN",7/8/1990,3.93,82,,71
IN020020300,"CUDDALORE, IN",7/9/1990,0,85,92,76
IN020020300,"CUDDALORE, IN",7/10/1990,,84,95,
IN020020300,"CUDDALORE, IN",7/11/1990,1.01,83,91,74
IN020020300,"CUDDALORE, IN",7/12/1990,0,84,92,
IN020020300,"CUDDALORE, IN",7/13/1990,0,83,98,76
IN020020300,"CUDDALORE, IN",7/14/1990,0.19,85,97,74
IN020020300,"CUDDALORE, IN",7/15/1990,0,86,96,76
IN020020300,"CUDDALORE, IN",7/16/1990,0,83,92,77
IN020020300,"CUDDALORE, IN",7/17/1990,,83,93,75
IN020020300,"CUDDALORE, IN",7/18/1990,0,85,,
IN020020300,"CUDDALORE, IN",7/19/1990,0,84,92,
IN020020300,"CUDDALORE, IN",7/20/1990,0,85,92,77
IN020020300,"CUDDALORE, IN",7/21/1990,,85,98,74
IN020020300,"CUDDALORE, IN",7/22/1990,0,84,89,76
IN020020300,"CUDDALORE, IN",7/23/1990,0,85,96,77
IN020020300,"CUDDALORE, IN",7/24/1990,0,86,96,76
IN020020300,"CUDDALORE, IN",7/25/1990,0,85,,74
IN020020300,"CUDDALORE, IN",7/26/1990,0,86,100,76
IN020020300,"CUDDALORE, IN",7/27/1990,0,86,96,78
IN020020300,"CUDDALORE, IN",7/28/1990,0,86,97,
IN020020300,"CUDDALORE, IN",7/29/1990,0.46,85,,72
IN020020300,"CUDDALORE, IN",7/30/1990,0,86,94,80
IN020020300,"CUDDALORE, IN",7/31/1990,0,87,98,77
IN020020300,"CUDDALORE, IN",8/1/1990,,86,96,
IN020020300,"CUDDALORE, IN",8/2/1990,0.13,83,96,75
IN020020300,"CUDDALORE, IN",8/3/1990,0.54,82,94,73
IN020020300,"CUDDALORE, IN",8/4/1990,0.41,80,89,72
IN020020300,"CUDDALORE, IN",8/5/1990,0.03,83,92,
IN020020300,"CUDDALORE, IN",8/6/1990,3.13,78,86,71
IN020020300,"CUDDALORE, IN",8/7/1990,2.85,79,83,71
IN020020300,"CUDDALORE, IN",8/8/1990,0,81,85,76
IN020020300,"CUDDALORE, IN",8/9/1990,0.44,78,82,73
IN020020300,"CUDDALORE, IN",8/10/1990,0.02,83,,74
IN020020300,"CUDDALORE, IN",8/11/1990,0,85,92,75
IN020020300,"CUDDALORE, IN",8/12/1990,0,86,92,76
IN020020300,"CUDDALORE, IN",8/13/1990,0.01,82,93,76
IN020020300,"CUDDALORE, IN",8/14/1990,0.02,82,91,75
IN020020300,"CUDDALORE, IN",8/15/1990,0,86,96,76
IN020020300,"CUDDALORE, IN",8/16/1990,,85,96,77
IN020020300,"CUDDALORE, IN",8/17/1990,0,85,97,
IN020020300,"CUDDALORE, IN",8/18/1990,0,87,98,76
IN020020300,"CUDDALORE, IN",8/19/1990,0,88,98,76
IN020020300,"CUDDALORE, IN",8/20/1990,0,87,95,79
IN020020300,"CUDDALORE, IN",8/21/1990,0,85,93,78
IN020020300,"CUDDALORE, IN",8/22/1990,0,88,97,78
IN020020300,"CUDDALORE, IN",8/23/1990,0,87,98,79
IN020020300,"CUDDALORE, IN",8/24/1990,,86,97,78
IN020020300,"CUDDALORE, IN",8/25/1990,,84,91,
IN020020300,"CUDDALORE, IN",8/26/1990,,84,98,
IN020020300,"CUDDALORE, IN",8/27/1990,,80,88,
IN020020300,"CUDDALORE, IN",8/28/1990,0.19,85,93,72
IN020020300,"CUDDALORE, IN",8/29/1990,0,85,95,78
IN020020300,"CUDDALORE, IN",8/30/1990,0.31,85,96,74
IN020020300,"CUDDALORE, IN",8/31/1990,0,87,96,75
IN020020300,"CUDDALORE, IN",9/1/1990,0,85,94,75
IN020020300,"CUDDALORE, IN",9/2/1990,0.07,86,93,77
IN020020300,"CUDDALORE, IN",9/3/1990,0,88,,
IN020020300,"CUDDALORE, IN",9/4/1990,,82,96,
IN020020300,"CUDDALORE, IN",9/5/1990,0.2,82,94,75
IN020020300,"CUDDALORE, IN",9/6/1990,0,83,92,
IN020020300,"CUDDALORE, IN",9/7/1990,0,79,,72
IN020020300,"CUDDALORE, IN",9/8/1990,3.11,81,90,
IN020020300,"CUDDALORE, IN",9/9/1990,0.87,82,93,72
IN020020300,"CUDDALORE, IN",9/10/1990,0.13,83,,72
IN020020300,"CUDDALORE, IN",9/11/1990,0.15,83,,75
IN020020300,"CUDDALORE, IN",9/12/1990,0,85,92,
IN020020300,"CUDDALORE, IN",9/13/1990,0,84,93,
IN020020300,"CUDDALORE, IN",9/14/1990,0,87,95,
IN020020300,"CUDDALORE, IN",9/15/1990,0,84,91,
IN020020300,"CUDDALORE, IN",9/16/1990,0,82,90,74
IN020020300,"CUDDALORE, IN",9/17/1990,,81,94,
IN020020300,"CUDDALORE, IN",9/18/1990,0,83,91,70
IN020020300,"CUDDALORE, IN",9/19/1990,0,85,,74
IN020020300,"CUDDALORE, IN",9/20/1990,0,85,95,75
IN020020300,"CUDDALORE, IN",9/21/1990,0,83,92,
IN020020300,"CUDDALORE, IN",9/22/1990,0,84,92,75
IN020020300,"CUDDALORE, IN",9/23/1990,0,85,,76
IN020020300,"CUDDALORE, IN",9/24/1990,0.06,82,92,74
IN020020300,"CUDDALORE, IN",9/25/1990,0.65,81,87,71
IN020020300,"CUDDALORE, IN",9/26/1990,0,83,,73
IN020020300,"CUDDALORE, IN",9/27/1990,0,85,93,
IN020020300,"CUDDALORE, IN",9/28/1990,0,81,89,76
IN020020300,"CUDDALORE, IN",9/29/1990,0,83,91,75
IN020020300,"CUDDALORE, IN",9/30/1990,0,84,91,75
IN020020300,"CUDDALORE, IN",10/1/1990,0,84,90,
IN020020300,"CUDDALORE, IN",10/2/1990,0,85,95,76
IN020020300,"CUDDALORE, IN",10/3/1990,0,85,95,75
IN020020300,"CUDDALORE, IN",10/4/1990,0,85,,75
IN020020300,"CUDDALORE, IN",10/5/1990,0,84,,76
IN020020300,"CUDDALORE, IN",10/6/1990,0,85,96,75
IN020020300,"CUDDALORE, IN",10/7/1990,0,85,95,
IN020020300,"CUDDALORE, IN",10/8/1990,0,85,92,76
IN020020300,"CUDDALORE, IN",10/9/1990,0,84,90,76
IN020020300,"CUDDALORE, IN",10/10/1990,0,85,90,77
IN020020300,"CUDDALORE, IN",10/11/1990,0,85,90,78
IN020020300,"CUDDALORE, IN",10/12/1990,0,84,90,77
IN020020300,"CUDDALORE, IN",10/13/1990,0,85,91,77
IN020020300,"CUDDALORE, IN",10/14/1990,0,84,90,78
IN020020300,"CUDDALORE, IN",10/15/1990,0.01,83,89,77
IN020020300,"CUDDALORE, IN",10/16/1990,0,82,90,75
IN020020300,"CUDDALORE, IN",10/17/1990,0.55,82,88,74
IN020020300,"CUDDALORE, IN",10/18/1990,0.16,82,89,76
IN020020300,"CUDDALORE, IN",10/19/1990,0.25,78,81,75
IN020020300,"CUDDALORE, IN",10/20/1990,0.41,78,82,74
IN020020300,"CUDDALORE, IN",10/21/1990,0.92,79,85,73
IN020020300,"CUDDALORE, IN",10/22/1990,0,78,83,
IN020020300,"CUDDALORE, IN",10/23/1990,3.91,80,83,74
IN020020300,"CUDDALORE, IN",10/24/1990,0.22,81,87,76
IN020020300,"CUDDALORE, IN",10/25/1990,0.83,80,90,76
IN020020300,"CUDDALORE, IN",10/26/1990,1.03,79,85,75
IN020020300,"CUDDALORE, IN",10/27/1990,3.11,77,81,75
IN020020300,"CUDDALORE, IN",10/28/1990,1.17,76,78,74
IN020020300,"CUDDALORE, IN",10/29/1990,5.33,75,,74
IN020020300,"CUDDALORE, IN",10/30/1990,3.63,75,76,74
IN020020300,"CUDDALORE, IN",10/31/1990,0,76,79,
IN020020300,"CUDDALORE, IN",11/1/1990,0.78,75,,74
IN020020300,"CUDDALORE, IN",11/2/1990,0.72,79,84,72
IN020020300,"CUDDALORE, IN",11/3/1990,0,80,87,73
IN020020300,"CUDDALORE, IN",11/4/1990,0,82,88,75
IN020020300,"CUDDALORE, IN",11/5/1990,0,82,91,75
IN020020300,"CUDDALORE, IN",11/6/1990,0,84,92,76
IN020020300,"CUDDALORE, IN",11/9/1990,0,79,,
IN020020300,"CUDDALORE, IN",11/10/1990,0,80,89,74
IN020020300,"CUDDALORE, IN",11/11/1990,0,80,90,71
IN020020300,"CUDDALORE, IN",11/12/1990,0,78,88,68
IN020020300,"CUDDALORE, IN",11/13/1990,0,79,92,
IN020020300,"CUDDALORE, IN",11/14/1990,,81,90,
IN020020300,"CUDDALORE, IN",11/15/1990,0.52,82,89,75
IN020020300,"CUDDALORE, IN",11/16/1990,0,80,88,
IN020020300,"CUDDALORE, IN",11/17/1990,0,80,87,
IN020020300,"CUDDALORE, IN",11/18/1990,0,82,89,74
IN020020300,"CUDDALORE, IN",11/19/1990,0,80,88,73
IN020020300,"CUDDALORE, IN",11/20/1990,0,81,88,73
IN020020300,"CUDDALORE, IN",11/21/1990,0,79,87,73
IN020020300,"CUDDALORE, IN",11/22/1990,0,81,89,71
IN020020300,"CUDDALORE, IN",11/23/1990,0,81,,74
IN020020300,"CUDDALORE, IN",11/24/1990,,80,86,
IN020020300,"CUDDALORE, IN",11/25/1990,2.04,75,77,
IN020020300,"CUDDALORE, IN",11/26/1990,0,77,79,
IN020020300,"CUDDALORE, IN",11/27/1990,0.61,79,84,74
IN020020300,"CUDDALORE, IN",11/28/1990,0.05,79,85,74
IN020020300,"CUDDALORE, IN",11/29/1990,0,80,85,
IN020020300,"CUDDALORE, IN",11/30/1990,0,80,86,71
IN020020300,"CUDDALORE, IN",12/1/1990,0,79,86,71
IN020020300,"CUDDALORE, IN",12/2/1990,0,80,86,72
IN020020300,"CUDDALORE, IN",12/3/1990,,78,85,74
IN020020300,"CUDDALORE, IN",12/4/1990,,79,83,
IN020020300,"CUDDALORE, IN",12/5/1990,,80,86,75
IN020020300,"CUDDALORE, IN",12/6/1990,0,80,85,
IN020020300,"CUDDALORE, IN",12/7/1990,,80,,75
IN020020300,"CUDDALORE, IN",12/8/1990,,79,85,73
IN020020300,"CUDDALORE, IN",12/9/1990,0,77,85,
IN020020300,"CUDDALORE, IN",12/10/1990,0,78,85,70
IN020020300,"CUDDALORE, IN",12/11/1990,0,77,85,70
IN020020300,"CUDDALORE, IN",12/12/1990,0,78,85,71
IN020020300,"CUDDALORE, IN",12/13/1990,0,77,85,70
IN020020300,"CUDDALORE, IN",12/14/1990,0,76,85,72
IN020020300,"CUDDALORE, IN",12/15/1990,0,77,85,
IN020020300,"CUDDALORE, IN",12/16/1990,0,76,87,68
IN020020300,"CUDDALORE, IN",12/17/1990,0,78,87,
IN020020300,"CUDDALORE, IN",12/18/1990,0,78,87,
IN020020300,"CUDDALORE, IN",12/19/1990,0,80,85,70
IN020020300,"CUDDALORE, IN",12/20/1990,0,79,85,70
IN020020300,"CUDDALORE, IN",12/21/1990,0,78,,72
IN020020300,"CUDDALORE, IN",12/22/1990,0,79,83,73
IN020020300,"CUDDALORE, IN",12/23/1990,0,80,85,70
IN020020300,"CUDDALORE, IN",12/24/1990,0,78,84,72
IN020020300,"CUDDALORE, IN",12/25/1990,0,78,85,72
IN020020300,"CUDDALORE, IN",12/26/1990,0,77,85,
IN020020300,"CUDDALORE, IN",12/28/1990,0,78,84,
IN020020300,"CUDDALORE, IN",12/29/1990,,76,83,70
IN020020300,"CUDDALORE, IN",12/30/1990,0.09,78,86,70
IN020020300,"CUDDALORE, IN",12/31/1990,0,77,80,74
IN020020300,"CUDDALORE, IN",1/1/1991,0,80,,
IN020020300,"CUDDALORE, IN",1/2/1991,0,80,,73
IN020020300,"CUDDALORE, IN",1/3/1991,0,80,86,
IN020020300,"CUDDALORE, IN",1/4/1991,0.46,78,84,71
IN020020300,"CUDDALORE, IN",1/5/1991,0,78,85,71
IN020020300,"CUDDALORE, IN",1/6/1991,0.04,80,85,
IN020020300,"CUDDALORE, IN",1/7/1991,0,80,,76
IN020020300,"CUDDALORE, IN",1/8/1991,0,77,84,71
IN020020300,"CUDDALORE, IN",1/9/1991,,76,85,67
IN020020300,"CUDDALORE, IN",1/10/1991,0,79,,71
IN020020300,"CUDDALORE, IN",1/11/1991,0,78,84,72
IN020020300,"CUDDALORE, IN",1/12/1991,0,78,85,70
IN020020300,"CUDDALORE, IN",1/13/1991,0.59,78,,69
IN020020300,"CUDDALORE, IN",1/14/1991,0,77,,66
IN020020300,"CUDDALORE, IN",1/15/1991,0,77,,67
IN020020300,"CUDDALORE, IN",1/16/1991,0,80,,
IN020020300,"CUDDALORE, IN",1/17/1991,0.06,79,85,73
IN020020300,"CUDDALORE, IN",1/18/1991,0,78,,73
IN020020300,"CUDDALORE, IN",1/19/1991,,78,85,72
IN020020300,"CUDDALORE, IN",1/20/1991,0,78,86,
IN020020300,"CUDDALORE, IN",1/21/1991,0,73,,
IN020020300,"CUDDALORE, IN",1/22/1991,0,76,85,66
IN020020300,"CUDDALORE, IN",1/23/1991,0,77,85,69
IN020020300,"CUDDALORE, IN",1/24/1991,0,76,85,69
IN020020300,"CUDDALORE, IN",1/25/1991,0,76,,70
IN020020300,"CUDDALORE, IN",1/26/1991,0,74,86,68
IN020020300,"CUDDALORE, IN",1/27/1991,0,76,85,69
IN020020300,"CUDDALORE, IN",1/28/1991,0,76,86,66
IN020020300,"CUDDALORE, IN",1/29/1991,0,78,89,65
IN020020300,"CUDDALORE, IN",1/30/1991,0,79,85,69
IN020020300,"CUDDALORE, IN",1/31/1991,0,78,85,71
IN020020300,"CUDDALORE, IN",2/1/1991,0.36,77,86,73
IN020020300,"CUDDALORE, IN",2/2/1991,0.02,80,85,73
IN020020300,"CUDDALORE, IN",2/3/1991,0,81,88,74
IN020020300,"CUDDALORE, IN",2/4/1991,0,80,,
IN020020300,"CUDDALORE, IN",2/5/1991,0,79,86,70
IN020020300,"CUDDALORE, IN",2/6/1991,0,80,86,71
IN020020300,"CUDDALORE, IN",2/7/1991,0,77,87,69
IN020020300,"CUDDALORE, IN",2/8/1991,0,77,86,70
IN020020300,"CUDDALORE, IN",2/9/1991,0,78,86,
IN020020300,"CUDDALORE, IN",2/10/1991,0,76,85,68
IN020020300,"CUDDALORE, IN",2/11/1991,0,78,88,66
IN020020300,"CUDDALORE, IN",2/12/1991,0,75,86,66
IN020020300,"CUDDALORE, IN",2/13/1991,0,78,87,66
IN020020300,"CUDDALORE, IN",2/14/1991,0,76,87,66
IN020020300,"CUDDALORE, IN",2/15/1991,0,76,87,67
IN020020300,"CUDDALORE, IN",2/16/1991,0,78,89,67
IN020020300,"CUDDALORE, IN",2/17/1991,0,80,93,
IN020020300,"CUDDALORE, IN",2/18/1991,0,78,89,68
IN020020300,"CUDDALORE, IN",2/19/1991,0,77,86,67
IN020020300,"CUDDALORE, IN",2/20/1991,0,80,87,68
IN020020300,"CUDDALORE, IN",2/21/1991,0,80,88,72
IN020020300,"CUDDALORE, IN",2/22/1991,0,81,88,72
IN020020300,"CUDDALORE, IN",2/23/1991,0,79,,70
IN020020300,"CUDDALORE, IN",2/24/1991,0,81,87,
IN020020300,"CUDDALORE, IN",2/25/1991,0,82,88,73
IN020020300,"CUDDALORE, IN",2/26/1991,0,81,88,75
IN020020300,"CUDDALORE, IN",2/27/1991,0,82,88,73
IN020020300,"CUDDALORE, IN",2/28/1991,0,80,88,74
IN020020300,"CUDDALORE, IN",3/1/1991,0,81,88,71
IN020020300,"CUDDALORE, IN",3/2/1991,,83,89,
IN020020300,"CUDDALORE, IN",3/3/1991,0,84,89,75
IN020020300,"CUDDALORE, IN",3/4/1991,0,81,90,75
IN020020300,"CUDDALORE, IN",3/5/1991,0,84,90,76
IN020020300,"CUDDALORE, IN",3/6/1991,0,84,90,75
IN020020300,"CUDDALORE, IN",3/7/1991,0,84,89,
IN020020300,"CUDDALORE, IN",3/8/1991,0,84,91,79
IN020020300,"CUDDALORE, IN",3/9/1991,0,83,89,77
