STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN013010200,"IMPHAL, IN",1/16/1990,0,61,73,41
IN013010200,"IMPHAL, IN",1/17/1990,,59,74,42
IN013010200,"IMPHAL, IN",1/18/1990,,62,74,43
IN013010200,"IMPHAL, IN",1/21/1990,,68,78,
IN013010200,"IMPHAL, IN",2/1/1990,,69,76,60
IN013010200,"IMPHAL, IN",2/2/1990,,66,76,
IN013010200,"IMPHAL, IN",2/3/1990,0.03,65,76,52
IN013010200,"IMPHAL, IN",2/4/1990,0,58,75,44
IN013010200,"IMPHAL, IN",2/5/1990,0,61,75,
IN013010200,"IMPHAL, IN",2/7/1990,0,60,,
IN013010200,"IMPHAL, IN",2/8/1990,,62,75,43
IN013010200,"IMPHAL, IN",2/9/1990,,62,74,45
IN013010200,"IMPHAL, IN",2/14/1990,,63,76,
IN013010200,"IMPHAL, IN",2/15/1990,0.01,65,78,
IN013010200,"IMPHAL, IN",2/20/1990,3.13,57,63,53
IN013010200,"IMPHAL, IN",2/21/1990,3.11,58,73,
IN013010200,"IMPHAL, IN",2/22/1990,0.34,57,69,51
IN013010200,"IMPHAL, IN",2/23/1990,0.02,58,69,48
IN013010200,"IMPHAL, IN",2/25/1990,,60,71,46
IN013010200,"IMPHAL, IN",3/1/1990,0,64,71,
IN013010200,"IMPHAL, IN",3/9/1990,0,62,77,
IN013010200,"IMPHAL, IN",3/10/1990,0,63,78,
IN013010200,"IMPHAL, IN",3/11/1990,0,65,78,49
IN013010200,"IMPHAL, IN",3/12/1990,,60,66,55
IN013010200,"IMPHAL, IN",3/13/1990,,65,73,
IN013010200,"IMPHAL, IN",3/15/1990,0,65,78,
IN013010200,"IMPHAL, IN",3/16/1990,0,68,82,
IN013010200,"IMPHAL, IN",3/17/1990,,71,83,51
IN013010200,"IMPHAL, IN",3/18/1990,,70,85,51
IN013010200,"IMPHAL, IN",3/19/1990,0,69,85,51
IN013010200,"IMPHAL, IN",3/20/1990,,75,84,54
IN013010200,"IMPHAL, IN",3/21/1990,,61,69,
IN013010200,"IMPHAL, IN",3/22/1990,,66,72,56
IN013010200,"IMPHAL, IN",3/25/1990,0.24,62,68,56
IN013010200,"IMPHAL, IN",3/27/1990,,71,78,51
IN013010200,"IMPHAL, IN",3/29/1990,0.03,66,77,53
IN013010200,"IMPHAL, IN",3/30/1990,0.23,70,80,
IN013010200,"IMPHAL, IN",3/31/1990,0,67,80,54
IN013010200,"IMPHAL, IN",4/1/1990,0.29,62,81,54
IN013010200,"IMPHAL, IN",4/2/1990,0.47,65,,53
IN013010200,"IMPHAL, IN",4/3/1990,0,69,77,
IN013010200,"IMPHAL, IN",4/5/1990,0.13,67,74,57
IN013010200,"IMPHAL, IN",4/6/1990,0,64,76,52
IN013010200,"IMPHAL, IN",4/7/1990,,64,76,51
IN013010200,"IMPHAL, IN",4/8/1990,0.3,62,73,56
IN013010200,"IMPHAL, IN",4/10/1990,0.93,67,79,59
IN013010200,"IMPHAL, IN",4/12/1990,0.03,67,76,62
IN013010200,"IMPHAL, IN",4/13/1990,0.01,72,83,61
IN013010200,"IMPHAL, IN",4/14/1990,0,75,82,
IN013010200,"IMPHAL, IN",4/15/1990,,74,84,
IN013010200,"IMPHAL, IN",4/16/1990,,74,84,
IN013010200,"IMPHAL, IN",4/18/1990,0.54,63,83,60
IN013010200,"IMPHAL, IN",4/19/1990,1,66,78,
IN013010200,"IMPHAL, IN",4/21/1990,0.73,69,,60
IN013010200,"IMPHAL, IN",4/23/1990,0.27,71,80,63
IN013010200,"IMPHAL, IN",4/26/1990,,72,79,
IN013010200,"IMPHAL, IN",4/27/1990,0,73,80,63
IN013010200,"IMPHAL, IN",4/29/1990,0.44,73,82,
IN013010200,"IMPHAL, IN",5/1/1990,,76,86,65
IN013010200,"IMPHAL, IN",5/2/1990,0.07,71,83,
IN013010200,"IMPHAL, IN",5/7/1990,,71,88,66
IN013010200,"IMPHAL, IN",5/9/1990,,74,84,
IN013010200,"IMPHAL, IN",5/10/1990,0,75,84,
IN013010200,"IMPHAL, IN",5/11/1990,,76,83,
IN013010200,"IMPHAL, IN",5/13/1990,0.56,72,89,67
IN013010200,"IMPHAL, IN",5/14/1990,0.36,70,78,67
IN013010200,"IMPHAL, IN",5/15/1990,2.2,65,78,63
IN013010200,"IMPHAL, IN",5/16/1990,0.63,69,79,
IN013010200,"IMPHAL, IN",5/18/1990,0,77,89,66
IN013010200,"IMPHAL, IN",5/19/1990,,81,,69
IN013010200,"IMPHAL, IN",5/20/1990,,79,90,71
IN013010200,"IMPHAL, IN",5/21/1990,,79,87,
IN013010200,"IMPHAL, IN",5/23/1990,,80,86,68
IN013010200,"IMPHAL, IN",6/2/1990,0.35,75,79,69
IN013010200,"IMPHAL, IN",6/4/1990,0,75,,72
IN013010200,"IMPHAL, IN",6/7/1990,0.13,78,,70
IN013010200,"IMPHAL, IN",6/9/1990,0.57,77,81,67
IN013010200,"IMPHAL, IN",6/16/1990,,76,,
IN013010200,"IMPHAL, IN",7/7/1990,0.5,77,87,72
IN013010200,"IMPHAL, IN",7/8/1990,2.09,75,87,70
IN013010200,"IMPHAL, IN",7/10/1990,0.3,78,84,72
IN013010200,"IMPHAL, IN",7/11/1990,0.03,78,87,73
IN013010200,"IMPHAL, IN",7/16/1990,0.42,77,83,
IN013010200,"IMPHAL, IN",7/27/1990,,76,84,67
IN013010200,"IMPHAL, IN",7/30/1990,0.47,82,88,
IN013010200,"IMPHAL, IN",8/1/1990,,79,83,68
IN013010200,"IMPHAL, IN",8/2/1990,,76,82,
IN013010200,"IMPHAL, IN",8/4/1990,0.04,80,88,
IN013010200,"IMPHAL, IN",8/5/1990,0,81,88,
IN013010200,"IMPHAL, IN",8/6/1990,,80,88,
IN013010200,"IMPHAL, IN",8/7/1990,,82,,
IN013010200,"IMPHAL, IN",8/8/1990,0,79,87,67
IN013010200,"IMPHAL, IN",8/9/1990,0.28,78,,65
IN013010200,"IMPHAL, IN",8/10/1990,0,76,,
IN013010200,"IMPHAL, IN",8/11/1990,,78,84,63
IN013010200,"IMPHAL, IN",8/12/1990,0.02,78,86,
IN013010200,"IMPHAL, IN",8/13/1990,1.44,77,,65
IN013010200,"IMPHAL, IN",8/14/1990,0.17,76,85,
IN013010200,"IMPHAL, IN",8/16/1990,0.01,77,87,65
IN013010200,"IMPHAL, IN",8/18/1990,0.05,81,88,
IN013010200,"IMPHAL, IN",8/20/1990,0,78,86,67
IN013010200,"IMPHAL, IN",8/21/1990,,80,87,
IN013010200,"IMPHAL, IN",8/22/1990,0,80,89,
IN013010200,"IMPHAL, IN",8/23/1990,0.25,76,89,
IN013010200,"IMPHAL, IN",8/24/1990,0.24,77,84,66
IN013010200,"IMPHAL, IN",8/25/1990,0,78,,
IN013010200,"IMPHAL, IN",8/26/1990,,79,88,
IN013010200,"IMPHAL, IN",8/27/1990,,75,,
IN013010200,"IMPHAL, IN",8/28/1990,0,79,87,
IN013010200,"IMPHAL, IN",8/29/1990,,81,89,
IN013010200,"IMPHAL, IN",8/30/1990,0,79,92,65
IN013010200,"IMPHAL, IN",9/1/1990,0,76,90,
IN013010200,"IMPHAL, IN",9/2/1990,0.06,77,,67
IN013010200,"IMPHAL, IN",9/3/1990,0.19,74,84,
IN013010200,"IMPHAL, IN",9/4/1990,1.31,77,87,65
IN013010200,"IMPHAL, IN",9/8/1990,0,78,86,
IN013010200,"IMPHAL, IN",9/9/1990,0,76,,
IN013010200,"IMPHAL, IN",9/10/1990,,79,,
IN013010200,"IMPHAL, IN",9/11/1990,,79,86,
IN013010200,"IMPHAL, IN",9/12/1990,,78,86,
IN013010200,"IMPHAL, IN",9/13/1990,,76,84,
IN013010200,"IMPHAL, IN",9/14/1990,0,77,85,
IN013010200,"IMPHAL, IN",9/17/1990,,76,78,65
IN013010200,"IMPHAL, IN",9/21/1990,0,77,87,
IN013010200,"IMPHAL, IN",9/22/1990,,77,85,
IN013010200,"IMPHAL, IN",9/23/1990,,72,80,
IN013010200,"IMPHAL, IN",9/24/1990,,71,80,
IN013010200,"IMPHAL, IN",9/25/1990,,77,85,
IN013010200,"IMPHAL, IN",9/26/1990,,73,80,
IN013010200,"IMPHAL, IN",9/27/1990,,70,72,
IN013010200,"IMPHAL, IN",10/2/1990,0.02,73,,
IN013010200,"IMPHAL, IN",10/4/1990,1,73,78,62
IN013010200,"IMPHAL, IN",10/5/1990,0,78,,61
IN013010200,"IMPHAL, IN",10/6/1990,,78,89,
IN013010200,"IMPHAL, IN",10/9/1990,0.93,69,,60
IN013010200,"IMPHAL, IN",10/11/1990,,71,,56
IN013010200,"IMPHAL, IN",10/13/1990,,77,88,
IN013010200,"IMPHAL, IN",10/22/1990,0,72,85,
IN013010200,"IMPHAL, IN",10/23/1990,0,67,85,
IN013010200,"IMPHAL, IN",10/24/1990,,71,,53
IN013010200,"IMPHAL, IN",10/25/1990,0,70,,54
IN013010200,"IMPHAL, IN",10/26/1990,0,71,,55
IN013010200,"IMPHAL, IN",10/27/1990,0,77,,
IN013010200,"IMPHAL, IN",10/30/1990,,70,80,49
IN013010200,"IMPHAL, IN",11/3/1990,,68,,
IN013010200,"IMPHAL, IN",11/4/1990,,68,,
IN013010200,"IMPHAL, IN",11/26/1990,0,63,78,
IN013010200,"IMPHAL, IN",11/29/1990,0,61,75,42
IN013010200,"IMPHAL, IN",12/1/1990,0,60,,
IN013010200,"IMPHAL, IN",12/2/1990,0,63,74,
IN013010200,"IMPHAL, IN",12/4/1990,,58,74,
IN013010200,"IMPHAL, IN",12/6/1990,,60,,39
IN013010200,"IMPHAL, IN",12/11/1990,,59,,34
IN013010200,"IMPHAL, IN",12/13/1990,0,52,74,
IN013010200,"IMPHAL, IN",12/21/1990,,56,72,
IN013010200,"IMPHAL, IN",12/23/1990,0,55,,
IN013010200,"IMPHAL, IN",12/25/1990,,56,69,
IN013010200,"IMPHAL, IN",12/26/1990,,59,,42
IN013010200,"IMPHAL, IN",1/2/1991,,52,58,44
IN013010200,"IMPHAL, IN",1/3/1991,0.19,54,,49
IN013010200,"IMPHAL, IN",1/4/1991,0.49,57,,
IN013010200,"IMPHAL, IN",1/5/1991,0,48,68,
IN013010200,"IMPHAL, IN",1/7/1991,,52,67,
IN013010200,"IMPHAL, IN",1/8/1991,,52,,34
IN013010200,"IMPHAL, IN",1/16/1991,,55,,
IN013010200,"IMPHAL, IN",1/17/1991,,54,69,40
IN013010200,"IMPHAL, IN",1/18/1991,0,52,,36
IN013010200,"IMPHAL, IN",1/19/1991,0,53,70,
IN013010200,"IMPHAL, IN",1/20/1991,,54,65,38
IN013010200,"IMPHAL, IN",1/21/1991,0,51,71,
IN013010200,"IMPHAL, IN",1/23/1991,0,50,68,
IN013010200,"IMPHAL, IN",1/24/1991,0,49,69,
IN013010200,"IMPHAL, IN",1/25/1991,0,47,69,
IN013010200,"IMPHAL, IN",1/28/1991,,58,76,
IN013010200,"IMPHAL, IN",2/5/1991,0.43,56,,
IN013010200,"IMPHAL, IN",2/6/1991,0,58,71,44
IN013010200,"IMPHAL, IN",2/7/1991,0,57,85,
IN013010200,"IMPHAL, IN",2/8/1991,0,57,73,
IN013010200,"IMPHAL, IN",2/9/1991,,66,74,
IN013010200,"IMPHAL, IN",2/12/1991,,67,77,
IN013010200,"IMPHAL, IN",2/13/1991,0.04,67,78,
IN013010200,"IMPHAL, IN",2/14/1991,0,62,77,
IN013010200,"IMPHAL, IN",2/15/1991,0,60,77,
IN013010200,"IMPHAL, IN",2/16/1991,0,55,73,
IN013010200,"IMPHAL, IN",2/17/1991,0,60,76,
IN013010200,"IMPHAL, IN",2/22/1991,,67,80,
IN013010200,"IMPHAL, IN",2/23/1991,,61,78,
IN013010200,"IMPHAL, IN",2/24/1991,0.01,65,82,
IN013010200,"IMPHAL, IN",2/25/1991,0,69,81,54
IN013010200,"IMPHAL, IN",2/26/1991,0,64,77,
IN013010200,"IMPHAL, IN",2/27/1991,,67,83,
IN013010200,"IMPHAL, IN",2/28/1991,0,69,83,
IN013010200,"IMPHAL, IN",3/1/1991,0,67,,55
IN013010200,"IMPHAL, IN",3/2/1991,,68,,57
IN013010200,"IMPHAL, IN",3/3/1991,0,65,79,
IN013010200,"IMPHAL, IN",3/4/1991,,64,79,49
IN013010200,"IMPHAL, IN",3/8/1991,0.64,68,83,
IN013010200,"IMPHAL, IN",3/9/1991,0,64,79,
IN013010200,"IMPHAL, IN",3/12/1991,0,67,,58
IN013010200,"IMPHAL, IN",3/13/1991,0.24,69,84,
IN013010200,"IMPHAL, IN",3/14/1991,0,69,83,
IN013010200,"IMPHAL, IN",3/15/1991,0,74,83,55
IN013010200,"IMPHAL, IN",3/16/1991,0,68,,57
IN013010200,"IMPHAL, IN",3/17/1991,0,72,85,
IN013010200,"IMPHAL, IN",3/19/1991,,72,85,57
IN013010200,"IMPHAL, IN",3/20/1991,0,71,86,
IN013010200,"IMPHAL, IN",3/21/1991,0,69,87,
IN013010200,"IMPHAL, IN",3/22/1991,0,74,87,58
IN013010200,"IMPHAL, IN",3/24/1991,,64,,
IN013010200,"IMPHAL, IN",3/25/1991,0.38,69,77,59
IN013010200,"IMPHAL, IN",3/26/1991,0,66,,
IN013010200,"IMPHAL, IN",3/28/1991,0,72,86,57
IN013010200,"IMPHAL, IN",3/29/1991,,74,86,
IN013010200,"IMPHAL, IN",3/30/1991,0.02,75,85,
IN013010200,"IMPHAL, IN",3/31/1991,0,70,83,
IN013010200,"IMPHAL, IN",4/2/1991,1.33,63,68,
IN013010200,"IMPHAL, IN",4/5/1991,0.27,72,76,66
IN013010200,"IMPHAL, IN",4/18/1991,,77,88,
IN013010200,"IMPHAL, IN",4/22/1991,0.08,72,85,60
IN013010200,"IMPHAL, IN",4/27/1991,0,77,90,
IN013010200,"IMPHAL, IN",4/28/1991,,74,79,69
IN013010200,"IMPHAL, IN",5/4/1991,,71,76,
IN013010200,"IMPHAL, IN",5/7/1991,,69,,
IN013010200,"IMPHAL, IN",5/8/1991,0.96,66,67,64
IN013010200,"IMPHAL, IN",5/18/1991,0.15,70,81,
IN013010200,"IMPHAL, IN",5/19/1991,0.2,68,71,65
IN013010200,"IMPHAL, IN",5/21/1991,,79,85,64
IN013010200,"IMPHAL, IN",5/22/1991,0.27,71,75,67
IN013010200,"IMPHAL, IN",5/30/1991,,79,86,
IN013010200,"IMPHAL, IN",5/31/1991,2.2,80,86,
IN013010200,"IMPHAL, IN",6/3/1991,0.5,76,84,
IN013010200,"IMPHAL, IN",6/6/1991,0.24,76,86,
IN013010200,"IMPHAL, IN",6/7/1991,0.05,77,86,71
IN013010200,"IMPHAL, IN",6/8/1991,0,82,,72
IN013010200,"IMPHAL, IN",6/9/1991,0.99,77,87,
IN013010200,"IMPHAL, IN",6/12/1991,0.93,76,87,
IN013010200,"IMPHAL, IN",6/17/1991,0.41,78,87,72
IN013010200,"IMPHAL, IN",6/19/1991,0.12,75,85,70
IN013010200,"IMPHAL, IN",6/20/1991,0,77,84,
IN013010200,"IMPHAL, IN",6/21/1991,0,79,84,73
IN013010200,"IMPHAL, IN",6/23/1991,0.04,77,84,72
IN013010200,"IMPHAL, IN",6/27/1991,0.17,77,86,73
IN013010200,"IMPHAL, IN",6/28/1991,0,80,88,73
IN013010200,"IMPHAL, IN",6/30/1991,0.39,78,85,70
IN013010200,"IMPHAL, IN",7/2/1991,0.12,78,84,72
IN013010200,"IMPHAL, IN",7/3/1991,0,77,84,73
IN013010200,"IMPHAL, IN",7/4/1991,0.9,79,87,73
IN013010200,"IMPHAL, IN",7/13/1991,0.22,81,90,72
IN013010200,"IMPHAL, IN",7/14/1991,0,81,90,
IN013010200,"IMPHAL, IN",7/15/1991,0,83,90,
IN013010200,"IMPHAL, IN",7/16/1991,0.17,75,,72
IN013010200,"IMPHAL, IN",7/17/1991,0.26,76,83,
IN013010200,"IMPHAL, IN",7/18/1991,1.55,75,83,71
IN013010200,"IMPHAL, IN",7/19/1991,0,76,86,
IN013010200,"IMPHAL, IN",7/30/1991,0.01,76,86,
IN013010200,"IMPHAL, IN",8/1/1991,0,78,,73
IN013010200,"IMPHAL, IN",8/2/1991,0,77,86,74
IN013010200,"IMPHAL, IN",8/3/1991,2.15,75,86,
IN013010200,"IMPHAL, IN",8/5/1991,0.08,78,86,72
IN013010200,"IMPHAL, IN",8/6/1991,1.82,77,83,71
IN013010200,"IMPHAL, IN",8/8/1991,0.24,78,86,
IN013010200,"IMPHAL, IN",8/9/1991,0.02,77,86,73
IN013010200,"IMPHAL, IN",8/11/1991,,78,83,
IN013010200,"IMPHAL, IN",8/12/1991,0.06,79,85,
IN013010200,"IMPHAL, IN",8/13/1991,0.01,80,,73
IN013010200,"IMPHAL, IN",8/17/1991,0,77,,
IN013010200,"IMPHAL, IN",8/18/1991,0,81,89,72
IN013010200,"IMPHAL, IN",8/19/1991,0,80,89,
IN013010200,"IMPHAL, IN",8/20/1991,,82,91,
IN013010200,"IMPHAL, IN",8/22/1991,0.1,78,84,72
IN013010200,"IMPHAL, IN",8/24/1991,0.41,77,88,
IN013010200,"IMPHAL, IN",8/25/1991,0,77,87,
IN013010200,"IMPHAL, IN",8/26/1991,0.02,77,83,72
IN013010200,"IMPHAL, IN",8/27/1991,0,75,84,
IN013010200,"IMPHAL, IN",8/28/1991,0,80,83,72
IN013010200,"IMPHAL, IN",8/29/1991,0,79,88,72
IN013010200,"IMPHAL, IN",8/30/1991,,76,88,
IN013010200,"IMPHAL, IN",8/31/1991,0,80,,
IN013010200,"IMPHAL, IN",9/1/1991,0.06,77,86,
IN013010200,"IMPHAL, IN",9/2/1991,0.28,76,84,69
IN013010200,"IMPHAL, IN",9/3/1991,0.25,77,,70
IN013010200,"IMPHAL, IN",9/4/1991,0,76,,
IN013010200,"IMPHAL, IN",9/5/1991,0.01,76,,72
IN013010200,"IMPHAL, IN",9/6/1991,0,76,84,
IN013010200,"IMPHAL, IN",9/7/1991,,76,85,
IN013010200,"IMPHAL, IN",9/11/1991,,80,88,
IN013010200,"IMPHAL, IN",9/12/1991,2.65,74,87,
IN013010200,"IMPHAL, IN",9/13/1991,0.24,74,80,
IN013010200,"IMPHAL, IN",9/14/1991,0,72,,
IN013010200,"IMPHAL, IN",9/15/1991,0.67,75,80,70
IN013010200,"IMPHAL, IN",9/16/1991,1.55,76,85,69
IN013010200,"IMPHAL, IN",9/17/1991,0,79,86,71
IN013010200,"IMPHAL, IN",9/18/1991,0.14,78,88,
IN013010200,"IMPHAL, IN",9/19/1991,0.31,75,,70
IN013010200,"IMPHAL, IN",9/20/1991,0.02,80,87,70
IN013010200,"IMPHAL, IN",9/21/1991,1.1,77,,69
IN013010200,"IMPHAL, IN",9/22/1991,1.94,76,82,71
IN013010200,"IMPHAL, IN",9/23/1991,0.93,73,,70
IN013010200,"IMPHAL, IN",9/24/1991,0.81,75,79,
IN013010200,"IMPHAL, IN",9/25/1991,0.8,72,,69
IN013010200,"IMPHAL, IN",9/26/1991,0.05,71,,69
IN013010200,"IMPHAL, IN",9/27/1991,0.08,77,84,68
IN013010200,"IMPHAL, IN",9/30/1991,,77,88,
IN013010200,"IMPHAL, IN",10/1/1991,,81,89,67
IN013010200,"IMPHAL, IN",10/2/1991,,80,89,69
IN013010200,"IMPHAL, IN",10/3/1991,0,78,89,
IN013010200,"IMPHAL, IN",10/4/1991,,79,89,
IN013010200,"IMPHAL, IN",10/5/1991,,74,85,
IN013010200,"IMPHAL, IN",10/6/1991,0.83,72,83,68
IN013010200,"IMPHAL, IN",10/7/1991,0,77,84,
IN013010200,"IMPHAL, IN",10/8/1991,0.05,74,84,
IN013010200,"IMPHAL, IN",10/9/1991,7.24,75,87,69
IN013010200,"IMPHAL, IN",10/10/1991,0,76,87,
IN013010200,"IMPHAL, IN",10/11/1991,,74,87,
IN013010200,"IMPHAL, IN",10/12/1991,0.19,74,86,69
IN013010200,"IMPHAL, IN",10/13/1991,0.17,72,78,68
IN013010200,"IMPHAL, IN",10/14/1991,1.39,73,80,68
IN013010200,"IMPHAL, IN",10/15/1991,0.12,74,84,
IN013010200,"IMPHAL, IN",10/16/1991,2.36,75,,67
IN013010200,"IMPHAL, IN",10/17/1991,0,75,85,
IN013010200,"IMPHAL, IN",10/18/1991,0,72,,62
IN013010200,"IMPHAL, IN",10/19/1991,0,74,85,
IN013010200,"IMPHAL, IN",10/20/1991,0,71,84,62
IN013010200,"IMPHAL, IN",10/21/1991,,72,84,
IN013010200,"IMPHAL, IN",10/22/1991,0,67,,61
IN013010200,"IMPHAL, IN",10/23/1991,,74,84,
IN013010200,"IMPHAL, IN",10/24/1991,0,68,83,
IN013010200,"IMPHAL, IN",10/25/1991,0,68,83,
IN013010200,"IMPHAL, IN",10/27/1991,,75,84,61
IN013010200,"IMPHAL, IN",10/28/1991,0.78,69,,
IN013010200,"IMPHAL, IN",11/1/1991,,66,71,
IN013010200,"IMPHAL, IN",11/2/1991,0,68,78,57
IN013010200,"IMPHAL, IN",11/6/1991,,68,79,56
IN013010200,"IMPHAL, IN",11/7/1991,0,66,78,
IN013010200,"IMPHAL, IN",11/9/1991,0,68,80,56
IN013010200,"IMPHAL, IN",11/10/1991,0,64,81,
IN013010200,"IMPHAL, IN",11/11/1991,,65,80,51
IN013010200,"IMPHAL, IN",11/12/1991,0,67,79,52
IN013010200,"IMPHAL, IN",11/14/1991,0,63,,51
IN013010200,"IMPHAL, IN",11/15/1991,0,62,76,51
IN013010200,"IMPHAL, IN",11/16/1991,0,65,80,53
IN013010200,"IMPHAL, IN",11/17/1991,,64,80,
IN013010200,"IMPHAL, IN",11/18/1991,0,64,,53
IN013010200,"IMPHAL, IN",11/19/1991,,68,76,48
IN013010200,"IMPHAL, IN",11/20/1991,,64,77,
IN013010200,"IMPHAL, IN",11/21/1991,0,58,74,47
IN013010200,"IMPHAL, IN",11/22/1991,0,58,,43
IN013010200,"IMPHAL, IN",11/23/1991,0,56,74,47
IN013010200,"IMPHAL, IN",11/24/1991,,58,74,45
IN013010200,"IMPHAL, IN",11/25/1991,,59,74,
IN013010200,"IMPHAL, IN",11/26/1991,0,58,75,
IN013010200,"IMPHAL, IN",11/29/1991,0,53,71,44
IN013010200,"IMPHAL, IN",11/30/1991,,55,71,
IN013010200,"IMPHAL, IN",12/4/1991,0,54,71,
IN013010200,"IMPHAL, IN",12/5/1991,0,54,,37
IN013010200,"IMPHAL, IN",12/6/1991,0,59,73,
IN013010200,"IMPHAL, IN",12/7/1991,,59,73,40
IN013010200,"IMPHAL, IN",12/8/1991,,63,,
IN013010200,"IMPHAL, IN",12/9/1991,,55,73,
IN013010200,"IMPHAL, IN",12/10/1991,0,59,75,49
IN013010200,"IMPHAL, IN",12/11/1991,0,60,74,47
IN013010200,"IMPHAL, IN",12/12/1991,0,56,75,
IN013010200,"IMPHAL, IN",12/13/1991,0,58,74,
IN013010200,"IMPHAL, IN",12/14/1991,,54,,43
IN013010200,"IMPHAL, IN",12/18/1991,,53,73,37
IN013010200,"IMPHAL, IN",12/19/1991,0,52,73,
IN013010200,"IMPHAL, IN",12/20/1991,,55,72,
IN013010200,"IMPHAL, IN",12/21/1991,,55,72,
IN013010200,"IMPHAL, IN",12/23/1991,0.02,62,,49
IN013010200,"IMPHAL, IN",12/24/1991,0.33,55,57,49
IN013010200,"IMPHAL, IN",12/28/1991,0,55,,
IN013010200,"IMPHAL, IN",12/29/1991,0,52,68,
IN013010200,"IMPHAL, IN",12/31/1991,0,48,63,36
IN013010200,"IMPHAL, IN",1/1/1992,0,52,65,
IN013010200,"IMPHAL, IN",1/2/1992,,56,68,
IN013010200,"IMPHAL, IN",1/3/1992,0,53,68,
IN013010200,"IMPHAL, IN",1/4/1992,0,51,68,38
IN013010200,"IMPHAL, IN",1/5/1992,,52,68,
IN013010200,"IMPHAL, IN",1/6/1992,0,47,66,38
IN013010200,"IMPHAL, IN",1/7/1992,0,53,68,44
IN013010200,"IMPHAL, IN",1/8/1992,,58,69,43
IN013010200,"IMPHAL, IN",1/9/1992,0,54,69,
IN013010200,"IMPHAL, IN",1/10/1992,,54,70,40
IN013010200,"IMPHAL, IN",1/13/1992,0,59,72,
IN013010200,"IMPHAL, IN",1/14/1992,0,56,72,
IN013010200,"IMPHAL, IN",1/15/1992,0,58,70,
IN013010200,"IMPHAL, IN",1/16/1992,0,56,70,
IN013010200,"IMPHAL, IN",1/17/1992,0,54,69,44
IN013010200,"IMPHAL, IN",1/18/1992,,56,,
IN013010200,"IMPHAL, IN",1/19/1992,,52,70,
IN013010200,"IMPHAL, IN",1/20/1992,0,56,70,
IN013010200,"IMPHAL, IN",1/21/1992,0,53,70,
IN013010200,"IMPHAL, IN",1/22/1992,,57,67,45
IN013010200,"IMPHAL, IN",1/23/1992,0.02,56,69,45
IN013010200,"IMPHAL, IN",1/24/1992,0,51,66,
IN013010200,"IMPHAL, IN",1/25/1992,0.02,59,70,
IN013010200,"IMPHAL, IN",1/26/1992,0,62,73,
IN013010200,"IMPHAL, IN",1/27/1992,0,60,73,
IN013010200,"IMPHAL, IN",1/28/1992,0,62,74,50
IN013010200,"IMPHAL, IN",1/29/1992,0,62,76,
IN013010200,"IMPHAL, IN",1/30/1992,0,61,76,
IN013010200,"IMPHAL, IN",1/31/1992,,60,75,47
IN013010200,"IMPHAL, IN",2/1/1992,,56,68,
IN013010200,"IMPHAL, IN",2/2/1992,0,60,73,
IN013010200,"IMPHAL, IN",2/3/1992,0.12,60,73,
IN013010200,"IMPHAL, IN",2/4/1992,0,56,73,
IN013010200,"IMPHAL, IN",2/5/1992,0,56,73,
IN013010200,"IMPHAL, IN",2/6/1992,0,51,70,
IN013010200,"IMPHAL, IN",2/7/1992,,58,71,42
IN013010200,"IMPHAL, IN",2/8/1992,0.08,60,70,49
IN013010200,"IMPHAL, IN",2/9/1992,0.02,58,70,
IN013010200,"IMPHAL, IN",2/10/1992,0.02,57,70,
IN013010200,"IMPHAL, IN",2/11/1992,0,54,70,
IN013010200,"IMPHAL, IN",2/12/1992,,60,70,
IN013010200,"IMPHAL, IN",2/13/1992,0,59,70,41
IN013010200,"IMPHAL, IN",2/14/1992,,59,66,
IN013010200,"IMPHAL, IN",2/20/1992,0,53,70,
IN013010200,"IMPHAL, IN",2/21/1992,,54,63,42
IN013010200,"IMPHAL, IN",2/22/1992,0.29,55,,47
IN013010200,"IMPHAL, IN",2/23/1992,0,60,74,44
IN013010200,"IMPHAL, IN",2/24/1992,,57,,49
IN013010200,"IMPHAL, IN",2/25/1992,0.1,59,,
IN013010200,"IMPHAL, IN",2/27/1992,0,62,72,
IN013010200,"IMPHAL, IN",2/28/1992,,53,,42
IN013010200,"IMPHAL, IN",3/5/1992,0,69,79,
IN013010200,"IMPHAL, IN",3/6/1992,0,72,79,
IN013010200,"IMPHAL, IN",3/7/1992,0,69,81,
IN013010200,"IMPHAL, IN",3/8/1992,0.51,65,78,
IN013010200,"IMPHAL, IN",3/14/1992,0,73,83,
IN013010200,"IMPHAL, IN",3/15/1992,0,73,84,
IN013010200,"IMPHAL, IN",3/16/1992,1.25,64,79,55
IN013010200,"IMPHAL, IN",3/17/1992,0.04,66,80,
IN013010200,"IMPHAL, IN",3/18/1992,0,67,78,
IN013010200,"IMPHAL, IN",3/19/1992,0.22,69,79,56
IN013010200,"IMPHAL, IN",3/20/1992,0.3,70,80,41
IN013010200,"IMPHAL, IN",3/24/1992,,74,,
IN013010200,"IMPHAL, IN",3/25/1992,,76,84,66
IN013010200,"IMPHAL, IN",3/26/1992,0.02,75,83,69
IN013010200,"IMPHAL, IN",3/27/1992,0,76,,
IN013010200,"IMPHAL, IN",3/28/1992,,80,84,61
IN013010200,"IMPHAL, IN",3/29/1992,,81,,55
IN013010200,"IMPHAL, IN",3/31/1992,,77,84,67
