STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN099999901,"PORT BLAIR, IN",1/24/2017,,80,,78
IN099999901,"PORT BLAIR, IN",1/25/2017,0.02,81,,
IN099999901,"PORT BLAIR, IN",1/26/2017,0,82,88,77
IN099999901,"PORT BLAIR, IN",1/27/2017,,82,,78
IN099999901,"PORT BLAIR, IN",1/28/2017,,82,,
IN099999901,"PORT BLAIR, IN",1/29/2017,,79,,
IN099999901,"PORT BLAIR, IN",1/30/2017,,80,,70
IN099999901,"PORT BLAIR, IN",1/31/2017,,79,,71
IN099999901,"PORT BLAIR, IN",2/1/2017,,79,,71
IN099999901,"PORT BLAIR, IN",2/2/2017,,80,,74
IN099999901,"PORT BLAIR, IN",2/3/2017,,80,88,75
IN099999901,"PORT BLAIR, IN",2/4/2017,,79,,73
IN099999901,"PORT BLAIR, IN",2/5/2017,,80,,72
IN099999901,"PORT BLAIR, IN",2/6/2017,,80,,73
IN099999901,"PORT BLAIR, IN",2/7/2017,,79,,
IN099999901,"PORT BLAIR, IN",2/8/2017,,78,,70
IN099999901,"PORT BLAIR, IN",2/9/2017,,77,,69
IN099999901,"PORT BLAIR, IN",2/10/2017,,77,,69
IN099999901,"PORT BLAIR, IN",2/11/2017,,81,,70
IN099999901,"PORT BLAIR, IN",2/12/2017,,81,,
IN099999901,"PORT BLAIR, IN",2/13/2017,,82,,79
IN099999901,"PORT BLAIR, IN",2/14/2017,0,82,,79
IN099999901,"PORT BLAIR, IN",2/15/2017,,82,,78
IN099999901,"PORT BLAIR, IN",2/16/2017,,82,,78
IN099999901,"PORT BLAIR, IN",2/17/2017,,82,,77
IN099999901,"PORT BLAIR, IN",2/18/2017,,82,,78
IN099999901,"PORT BLAIR, IN",2/19/2017,,81,,
IN099999901,"PORT BLAIR, IN",2/20/2017,,80,,74
IN099999901,"PORT BLAIR, IN",2/21/2017,,81,,74
IN099999901,"PORT BLAIR, IN",2/22/2017,,81,,
IN099999901,"PORT BLAIR, IN",2/23/2017,,81,,75
IN099999901,"PORT BLAIR, IN",2/24/2017,,81,,76
IN099999901,"PORT BLAIR, IN",2/25/2017,,81,,75
IN099999901,"PORT BLAIR, IN",2/26/2017,,82,,75
IN099999901,"PORT BLAIR, IN",2/27/2017,,83,,77
IN099999901,"PORT BLAIR, IN",2/28/2017,,83,,78
IN099999901,"PORT BLAIR, IN",3/1/2017,,83,,78
IN099999901,"PORT BLAIR, IN",3/2/2017,,83,,
IN099999901,"PORT BLAIR, IN",3/3/2017,,83,,77
IN099999901,"PORT BLAIR, IN",3/4/2017,,82,,
IN099999901,"PORT BLAIR, IN",3/5/2017,,81,,76
IN099999901,"PORT BLAIR, IN",3/6/2017,,82,,76
IN099999901,"PORT BLAIR, IN",3/7/2017,,83,,75
IN099999901,"PORT BLAIR, IN",3/8/2017,,83,,76
IN099999901,"PORT BLAIR, IN",3/9/2017,,82,,77
IN099999901,"PORT BLAIR, IN",3/10/2017,,83,,77
IN099999901,"PORT BLAIR, IN",3/11/2017,,83,,75
IN099999901,"PORT BLAIR, IN",3/12/2017,,83,,75
IN099999901,"PORT BLAIR, IN",3/13/2017,,82,,76
IN099999901,"PORT BLAIR, IN",3/14/2017,,82,,74
IN099999901,"PORT BLAIR, IN",3/15/2017,,81,,73
IN099999901,"PORT BLAIR, IN",3/16/2017,,81,,73
IN099999901,"PORT BLAIR, IN",3/17/2017,,80,,69
IN099999901,"PORT BLAIR, IN",3/18/2017,,80,,72
IN099999901,"PORT BLAIR, IN",3/19/2017,,81,,72
IN099999901,"PORT BLAIR, IN",3/20/2017,,81,,74
IN099999901,"PORT BLAIR, IN",3/21/2017,,81,,75
IN099999901,"PORT BLAIR, IN",3/22/2017,,83,,73
IN099999901,"PORT BLAIR, IN",3/23/2017,,79,,72
IN099999901,"PORT BLAIR, IN",3/24/2017,,81,,71
IN099999901,"PORT BLAIR, IN",3/25/2017,,82,,76
IN099999901,"PORT BLAIR, IN",3/26/2017,,84,,76
IN099999901,"PORT BLAIR, IN",3/27/2017,,84,,79
IN099999901,"PORT BLAIR, IN",3/28/2017,,83,,
IN099999901,"PORT BLAIR, IN",3/29/2017,,84,,78
IN099999901,"PORT BLAIR, IN",3/30/2017,0.04,83,,79
IN099999901,"PORT BLAIR, IN",3/31/2017,0.04,83,,
IN099999901,"PORT BLAIR, IN",4/1/2017,0,81,,78
IN099999901,"PORT BLAIR, IN",4/2/2017,1.1,83,,77
IN099999901,"PORT BLAIR, IN",4/3/2017,0,84,90,78
IN099999901,"PORT BLAIR, IN",4/4/2017,,84,,78
IN099999901,"PORT BLAIR, IN",4/5/2017,,84,,77
IN099999901,"PORT BLAIR, IN",4/6/2017,,84,,77
IN099999901,"PORT BLAIR, IN",4/7/2017,,84,,78
IN099999901,"PORT BLAIR, IN",4/8/2017,,83,,79
IN099999901,"PORT BLAIR, IN",4/9/2017,0,85,,78
IN099999901,"PORT BLAIR, IN",4/10/2017,,83,,
IN099999901,"PORT BLAIR, IN",4/11/2017,,85,,78
IN099999901,"PORT BLAIR, IN",4/12/2017,,84,,
IN099999901,"PORT BLAIR, IN",4/13/2017,,83,,76
IN099999901,"PORT BLAIR, IN",4/14/2017,0.51,82,,76
IN099999901,"PORT BLAIR, IN",4/15/2017,0.71,80,,
IN099999901,"PORT BLAIR, IN",4/16/2017,1.65,82,,77
IN099999901,"PORT BLAIR, IN",4/17/2017,0.01,81,,
IN099999901,"PORT BLAIR, IN",4/18/2017,0,82,,76
IN099999901,"PORT BLAIR, IN",4/19/2017,,83,,77
IN099999901,"PORT BLAIR, IN",4/20/2017,,80,,77
IN099999901,"PORT BLAIR, IN",4/21/2017,,83,,77
IN099999901,"PORT BLAIR, IN",4/22/2017,,83,,78
IN099999901,"PORT BLAIR, IN",4/23/2017,,83,,78
IN099999901,"PORT BLAIR, IN",4/24/2017,,84,,79
IN099999901,"PORT BLAIR, IN",4/25/2017,,85,,78
IN099999901,"PORT BLAIR, IN",4/26/2017,,85,,79
IN099999901,"PORT BLAIR, IN",4/27/2017,,85,,78
IN099999901,"PORT BLAIR, IN",4/28/2017,,85,,78
IN099999901,"PORT BLAIR, IN",4/29/2017,,84,,79
IN099999901,"PORT BLAIR, IN",4/30/2017,0.02,83,,79
IN099999901,"PORT BLAIR, IN",5/1/2017,0,84,,78
IN099999901,"PORT BLAIR, IN",5/2/2017,,85,,77
IN099999901,"PORT BLAIR, IN",5/3/2017,,85,,79
IN099999901,"PORT BLAIR, IN",5/4/2017,,85,,79
IN099999901,"PORT BLAIR, IN",5/5/2017,,85,,80
IN099999901,"PORT BLAIR, IN",5/6/2017,,82,91,
IN099999901,"PORT BLAIR, IN",5/7/2017,,86,,78
IN099999901,"PORT BLAIR, IN",5/8/2017,0,83,,
IN099999901,"PORT BLAIR, IN",5/9/2017,,84,,77
IN099999901,"PORT BLAIR, IN",5/10/2017,,84,,78
IN099999901,"PORT BLAIR, IN",5/11/2017,,84,,78
IN099999901,"PORT BLAIR, IN",5/12/2017,0,80,,78
IN099999901,"PORT BLAIR, IN",5/13/2017,0.12,81,,78
IN099999901,"PORT BLAIR, IN",5/14/2017,0.16,83,,77
IN099999901,"PORT BLAIR, IN",5/15/2017,0,79,,
IN099999901,"PORT BLAIR, IN",5/16/2017,0.39,79,,77
IN099999901,"PORT BLAIR, IN",5/17/2017,0.55,85,,77
IN099999901,"PORT BLAIR, IN",5/18/2017,0,86,,81
IN099999901,"PORT BLAIR, IN",5/19/2017,,85,,
IN099999901,"PORT BLAIR, IN",5/20/2017,,85,,
IN099999901,"PORT BLAIR, IN",5/21/2017,0,84,,78
IN099999901,"PORT BLAIR, IN",5/22/2017,0.02,84,,79
IN099999901,"PORT BLAIR, IN",5/23/2017,0.03,85,,79
IN099999901,"PORT BLAIR, IN",5/24/2017,0.08,84,,80
IN099999901,"PORT BLAIR, IN",5/25/2017,0.12,82,,
IN099999901,"PORT BLAIR, IN",5/26/2017,1.77,80,,78
IN099999901,"PORT BLAIR, IN",5/27/2017,1.22,80,,
IN099999901,"PORT BLAIR, IN",5/28/2017,1.38,80,,
IN099999901,"PORT BLAIR, IN",5/29/2017,1.89,82,,76
IN099999901,"PORT BLAIR, IN",5/30/2017,0.43,83,,78
IN099999901,"PORT BLAIR, IN",5/31/2017,0.59,79,,
IN099999901,"PORT BLAIR, IN",6/1/2017,0.35,81,,76
IN099999901,"PORT BLAIR, IN",6/2/2017,0.08,82,,78
IN099999901,"PORT BLAIR, IN",6/3/2017,0.12,83,,78
IN099999901,"PORT BLAIR, IN",6/4/2017,0.39,80,,
IN099999901,"PORT BLAIR, IN",6/5/2017,0.12,78,,
IN099999901,"PORT BLAIR, IN",6/6/2017,8.46,76,,72
IN099999901,"PORT BLAIR, IN",6/7/2017,0,79,,74
IN099999901,"PORT BLAIR, IN",6/8/2017,1.42,81,,76
IN099999901,"PORT BLAIR, IN",6/9/2017,0.24,81,,
IN099999901,"PORT BLAIR, IN",6/10/2017,0,82,87,74
IN099999901,"PORT BLAIR, IN",6/11/2017,0.02,82,,
IN099999901,"PORT BLAIR, IN",6/12/2017,0,83,,78
IN099999901,"PORT BLAIR, IN",6/13/2017,0,82,,
IN099999901,"PORT BLAIR, IN",6/14/2017,0,81,,77
IN099999901,"PORT BLAIR, IN",6/15/2017,,83,,77
IN099999901,"PORT BLAIR, IN",6/16/2017,0,83,,78
IN099999901,"PORT BLAIR, IN",6/17/2017,,83,,78
IN099999901,"PORT BLAIR, IN",6/18/2017,,82,,78
IN099999901,"PORT BLAIR, IN",6/19/2017,,83,,78
IN099999901,"PORT BLAIR, IN",6/20/2017,0.12,81,,78
IN099999901,"PORT BLAIR, IN",6/21/2017,0.24,81,,
IN099999901,"PORT BLAIR, IN",6/22/2017,0.71,77,,
IN099999901,"PORT BLAIR, IN",6/23/2017,1.89,80,,73
IN099999901,"PORT BLAIR, IN",6/24/2017,1.02,79,,74
IN099999901,"PORT BLAIR, IN",6/25/2017,0.35,79,,
IN099999901,"PORT BLAIR, IN",6/26/2017,2.13,80,,73
IN099999901,"PORT BLAIR, IN",6/27/2017,0.59,76,,75
IN099999901,"PORT BLAIR, IN",6/28/2017,2.28,79,,74
IN099999901,"PORT BLAIR, IN",6/29/2017,0.12,82,,74
IN099999901,"PORT BLAIR, IN",6/30/2017,0,81,,79
IN099999901,"PORT BLAIR, IN",7/1/2017,0.12,81,,78
IN099999901,"PORT BLAIR, IN",7/2/2017,0.24,81,,74
IN099999901,"PORT BLAIR, IN",7/3/2017,0.01,83,,79
IN099999901,"PORT BLAIR, IN",7/4/2017,0,82,,
IN099999901,"PORT BLAIR, IN",7/5/2017,1.26,80,,77
IN099999901,"PORT BLAIR, IN",7/6/2017,1.26,78,,75
IN099999901,"PORT BLAIR, IN",7/7/2017,0.83,79,,73
IN099999901,"PORT BLAIR, IN",7/8/2017,2.05,79,,73
IN099999901,"PORT BLAIR, IN",7/9/2017,0.71,80,,74
IN099999901,"PORT BLAIR, IN",7/10/2017,0,81,,
IN099999901,"PORT BLAIR, IN",7/11/2017,,78,,75
IN099999901,"PORT BLAIR, IN",7/12/2017,,80,,75
IN099999901,"PORT BLAIR, IN",7/13/2017,1.38,78,,75
IN099999901,"PORT BLAIR, IN",7/14/2017,0.98,80,,75
IN099999901,"PORT BLAIR, IN",7/15/2017,0.12,79,,
IN099999901,"PORT BLAIR, IN",7/16/2017,3.03,78,,73
IN099999901,"PORT BLAIR, IN",7/17/2017,0.35,80,,73
IN099999901,"PORT BLAIR, IN",7/18/2017,0,81,,74
IN099999901,"PORT BLAIR, IN",7/19/2017,0.02,81,,
IN099999901,"PORT BLAIR, IN",7/20/2017,0.16,81,,78
IN099999901,"PORT BLAIR, IN",7/21/2017,0.47,79,,
IN099999901,"PORT BLAIR, IN",7/22/2017,1.38,80,,76
IN099999901,"PORT BLAIR, IN",7/23/2017,0.01,82,,78
IN099999901,"PORT BLAIR, IN",7/24/2017,0,81,,78
IN099999901,"PORT BLAIR, IN",7/25/2017,0.31,81,,78
IN099999901,"PORT BLAIR, IN",7/26/2017,0.24,81,,78
IN099999901,"PORT BLAIR, IN",7/27/2017,0,78,,73
IN099999901,"PORT BLAIR, IN",7/28/2017,1.65,80,,75
IN099999901,"PORT BLAIR, IN",7/29/2017,0.08,82,,79
IN099999901,"PORT BLAIR, IN",7/30/2017,0.47,83,,78
IN099999901,"PORT BLAIR, IN",7/31/2017,0,83,,79
IN099999901,"PORT BLAIR, IN",8/1/2017,0,83,,
IN099999901,"PORT BLAIR, IN",8/2/2017,1.22,81,,78
IN099999901,"PORT BLAIR, IN",8/3/2017,0.08,83,,79
IN099999901,"PORT BLAIR, IN",8/4/2017,0.51,83,,78
IN099999901,"PORT BLAIR, IN",8/5/2017,0.24,80,,
IN099999901,"PORT BLAIR, IN",8/6/2017,1.34,80,,76
IN099999901,"PORT BLAIR, IN",8/7/2017,0.43,81,,76
IN099999901,"PORT BLAIR, IN",8/8/2017,0.12,79,,76
IN099999901,"PORT BLAIR, IN",8/9/2017,0.16,81,,76
IN099999901,"PORT BLAIR, IN",8/10/2017,0.31,81,,
IN099999901,"PORT BLAIR, IN",8/11/2017,0.24,82,,76
IN099999901,"PORT BLAIR, IN",8/12/2017,0.01,83,,
IN099999901,"PORT BLAIR, IN",8/13/2017,0,83,,79
IN099999901,"PORT BLAIR, IN",8/14/2017,0.02,81,,
IN099999901,"PORT BLAIR, IN",8/15/2017,0.04,82,,77
IN099999901,"PORT BLAIR, IN",8/16/2017,0.55,77,,75
IN099999901,"PORT BLAIR, IN",8/17/2017,0.47,78,,74
IN099999901,"PORT BLAIR, IN",8/18/2017,3.7,77,,
IN099999901,"PORT BLAIR, IN",8/19/2017,2.13,77,,73
IN099999901,"PORT BLAIR, IN",8/20/2017,0.91,78,,75
IN099999901,"PORT BLAIR, IN",8/21/2017,2.05,78,,74
IN099999901,"PORT BLAIR, IN",8/22/2017,2.17,77,,75
IN099999901,"PORT BLAIR, IN",8/23/2017,1.42,77,,75
IN099999901,"PORT BLAIR, IN",8/24/2017,0.59,79,,76
IN099999901,"PORT BLAIR, IN",8/25/2017,0.75,80,,76
IN099999901,"PORT BLAIR, IN",8/26/2017,0.12,81,,77
IN099999901,"PORT BLAIR, IN",8/27/2017,0.12,81,,78
IN099999901,"PORT BLAIR, IN",8/28/2017,0.2,82,,79
IN099999901,"PORT BLAIR, IN",8/29/2017,0,82,,79
IN099999901,"PORT BLAIR, IN",8/30/2017,,81,,
IN099999901,"PORT BLAIR, IN",8/31/2017,,78,,
IN099999901,"PORT BLAIR, IN",9/1/2017,,82,,75
IN099999901,"PORT BLAIR, IN",9/2/2017,0.02,82,,78
IN099999901,"PORT BLAIR, IN",9/3/2017,0,82,,77
IN099999901,"PORT BLAIR, IN",9/4/2017,0.02,81,,
IN099999901,"PORT BLAIR, IN",9/5/2017,0,82,,77
IN099999901,"PORT BLAIR, IN",9/6/2017,0.08,83,,78
IN099999901,"PORT BLAIR, IN",9/7/2017,0,83,,78
IN099999901,"PORT BLAIR, IN",9/8/2017,0,82,,
IN099999901,"PORT BLAIR, IN",9/9/2017,0.12,83,,79
IN099999901,"PORT BLAIR, IN",9/10/2017,0.04,84,,78
IN099999901,"PORT BLAIR, IN",9/11/2017,0,84,,81
IN099999901,"PORT BLAIR, IN",9/12/2017,0,83,,79
IN099999901,"PORT BLAIR, IN",9/13/2017,,83,,78
IN099999901,"PORT BLAIR, IN",9/14/2017,0.02,81,,
IN099999901,"PORT BLAIR, IN",9/15/2017,2.8,80,,75
IN099999901,"PORT BLAIR, IN",9/16/2017,2.2,78,,74
IN099999901,"PORT BLAIR, IN",9/17/2017,2.91,80,,75
IN099999901,"PORT BLAIR, IN",9/18/2017,0.59,82,,78
IN099999901,"PORT BLAIR, IN",9/19/2017,0.08,82,,
IN099999901,"PORT BLAIR, IN",9/20/2017,0.02,78,,
IN099999901,"PORT BLAIR, IN",9/21/2017,0.83,78,,
IN099999901,"PORT BLAIR, IN",9/22/2017,0.35,79,,74
IN099999901,"PORT BLAIR, IN",9/23/2017,1.5,79,,74
IN099999901,"PORT BLAIR, IN",9/24/2017,0.02,79,,77
IN099999901,"PORT BLAIR, IN",9/25/2017,0.39,78,,
IN099999901,"PORT BLAIR, IN",9/26/2017,2.68,78,,75
IN099999901,"PORT BLAIR, IN",9/27/2017,0.75,80,,75
IN099999901,"PORT BLAIR, IN",9/28/2017,1.46,79,,75
IN099999901,"PORT BLAIR, IN",9/29/2017,0.2,78,,
IN099999901,"PORT BLAIR, IN",9/30/2017,1.02,78,,76
IN099999901,"PORT BLAIR, IN",10/1/2017,1.46,79,,76
IN099999901,"PORT BLAIR, IN",10/2/2017,0,81,,74
IN099999901,"PORT BLAIR, IN",10/3/2017,,81,,76
IN099999901,"PORT BLAIR, IN",10/4/2017,,80,,77
IN099999901,"PORT BLAIR, IN",10/5/2017,,79,,77
IN099999901,"PORT BLAIR, IN",10/6/2017,,82,,76
IN099999901,"PORT BLAIR, IN",10/7/2017,0.79,82,,78
IN099999901,"PORT BLAIR, IN",10/8/2017,0.28,82,,77
IN099999901,"PORT BLAIR, IN",10/9/2017,0,80,,
IN099999901,"PORT BLAIR, IN",10/10/2017,0.75,81,,75
IN099999901,"PORT BLAIR, IN",10/11/2017,0,80,,76
IN099999901,"PORT BLAIR, IN",10/12/2017,0.08,81,,76
IN099999901,"PORT BLAIR, IN",10/13/2017,0.08,81,,
IN099999901,"PORT BLAIR, IN",10/14/2017,0.51,78,,76
IN099999901,"PORT BLAIR, IN",10/15/2017,1.34,79,,76
IN099999901,"PORT BLAIR, IN",10/16/2017,1.06,78,,75
IN099999901,"PORT BLAIR, IN",10/17/2017,0.63,79,,
IN099999901,"PORT BLAIR, IN",10/18/2017,0.28,80,,76
IN099999901,"PORT BLAIR, IN",10/19/2017,0.12,81,,77
IN099999901,"PORT BLAIR, IN",10/20/2017,0.16,81,,78
IN099999901,"PORT BLAIR, IN",10/21/2017,0.04,81,,
IN099999901,"PORT BLAIR, IN",10/22/2017,0.63,78,,75
IN099999901,"PORT BLAIR, IN",10/23/2017,0.24,80,,75
IN099999901,"PORT BLAIR, IN",10/24/2017,0.08,81,,77
IN099999901,"PORT BLAIR, IN",10/25/2017,0.16,81,,76
IN099999901,"PORT BLAIR, IN",10/26/2017,0.02,81,,76
IN099999901,"PORT BLAIR, IN",10/27/2017,0,81,,76
IN099999901,"PORT BLAIR, IN",10/28/2017,,83,,76
IN099999901,"PORT BLAIR, IN",10/29/2017,,83,,
IN099999901,"PORT BLAIR, IN",10/30/2017,,83,,78
IN099999901,"PORT BLAIR, IN",10/31/2017,0,83,,80
IN099999901,"PORT BLAIR, IN",11/1/2017,0.43,83,,80
IN099999901,"PORT BLAIR, IN",11/2/2017,0,82,,
IN099999901,"PORT BLAIR, IN",11/3/2017,,83,,77
IN099999901,"PORT BLAIR, IN",11/4/2017,,83,,80
IN099999901,"PORT BLAIR, IN",11/5/2017,,84,,80
IN099999901,"PORT BLAIR, IN",11/6/2017,,80,,
IN099999901,"PORT BLAIR, IN",11/7/2017,,81,,77
IN099999901,"PORT BLAIR, IN",11/8/2017,,82,86,78
IN099999901,"PORT BLAIR, IN",11/9/2017,0.63,81,,78
IN099999901,"PORT BLAIR, IN",11/10/2017,1.26,80,,75
IN099999901,"PORT BLAIR, IN",11/11/2017,0.75,80,,74
IN099999901,"PORT BLAIR, IN",11/12/2017,0.28,79,,
IN099999901,"PORT BLAIR, IN",11/13/2017,0.16,78,,73
IN099999901,"PORT BLAIR, IN",11/14/2017,1.38,82,,76
IN099999901,"PORT BLAIR, IN",11/15/2017,0,83,,
IN099999901,"PORT BLAIR, IN",11/16/2017,,83,,78
IN099999901,"PORT BLAIR, IN",11/17/2017,,82,,
IN099999901,"PORT BLAIR, IN",11/18/2017,0.08,82,,
IN099999901,"PORT BLAIR, IN",11/19/2017,0,82,,77
IN099999901,"PORT BLAIR, IN",11/20/2017,,83,,77
IN099999901,"PORT BLAIR, IN",11/21/2017,,80,,
IN099999901,"PORT BLAIR, IN",11/22/2017,1.18,80,,75
IN099999901,"PORT BLAIR, IN",11/23/2017,0.01,82,,78
IN099999901,"PORT BLAIR, IN",11/24/2017,0,83,,78
IN099999901,"PORT BLAIR, IN",11/25/2017,0,82,,80
IN099999901,"PORT BLAIR, IN",11/26/2017,0.47,83,88,
IN099999901,"PORT BLAIR, IN",11/27/2017,0,83,,80
IN099999901,"PORT BLAIR, IN",11/28/2017,,83,,78
IN099999901,"PORT BLAIR, IN",11/29/2017,0,82,,
IN099999901,"PORT BLAIR, IN",11/30/2017,,81,,
IN099999901,"PORT BLAIR, IN",12/1/2017,,81,,73
IN099999901,"PORT BLAIR, IN",12/2/2017,,83,,78
IN099999901,"PORT BLAIR, IN",12/3/2017,,83,,80
IN099999901,"PORT BLAIR, IN",12/4/2017,,83,,80
IN099999901,"PORT BLAIR, IN",12/5/2017,0.04,79,,
IN099999901,"PORT BLAIR, IN",12/6/2017,4.45,78,,74
IN099999901,"PORT BLAIR, IN",12/7/2017,1.38,79,,
IN099999901,"PORT BLAIR, IN",12/8/2017,0.51,81,,73
IN099999901,"PORT BLAIR, IN",12/9/2017,0.39,81,,76
IN099999901,"PORT BLAIR, IN",12/10/2017,0.12,81,,76
IN099999901,"PORT BLAIR, IN",12/11/2017,0,81,,76
IN099999901,"PORT BLAIR, IN",12/12/2017,,81,,76
IN099999901,"PORT BLAIR, IN",12/13/2017,,81,,76
IN099999901,"PORT BLAIR, IN",12/14/2017,,80,,75
IN099999901,"PORT BLAIR, IN",12/15/2017,,80,,74
IN099999901,"PORT BLAIR, IN",12/16/2017,,79,,73
IN099999901,"PORT BLAIR, IN",12/17/2017,,79,,71
IN099999901,"PORT BLAIR, IN",12/18/2017,,82,,77
IN099999901,"PORT BLAIR, IN",12/19/2017,,80,,
IN099999901,"PORT BLAIR, IN",12/20/2017,,78,,76
IN099999901,"PORT BLAIR, IN",12/21/2017,,80,,76
IN099999901,"PORT BLAIR, IN",12/22/2017,0,79,,77
IN099999901,"PORT BLAIR, IN",12/23/2017,,81,,78
IN099999901,"PORT BLAIR, IN",12/24/2017,,81,,
IN099999901,"PORT BLAIR, IN",12/25/2017,,81,,76
IN099999901,"PORT BLAIR, IN",12/26/2017,,80,,76
IN099999901,"PORT BLAIR, IN",12/27/2017,0.04,80,,74
IN099999901,"PORT BLAIR, IN",12/28/2017,0.47,79,,
IN099999901,"PORT BLAIR, IN",12/29/2017,0.59,80,,74
IN099999901,"PORT BLAIR, IN",12/30/2017,0.03,81,,78
IN099999901,"PORT BLAIR, IN",12/31/2017,,82,,78
IN099999901,"PORT BLAIR, IN",1/1/2018,,82,,
IN099999901,"PORT BLAIR, IN",1/2/2018,0.24,80,,
IN099999901,"PORT BLAIR, IN",1/3/2018,1.1,78,,76
IN099999901,"PORT BLAIR, IN",1/4/2018,1.54,76,,74
IN099999901,"PORT BLAIR, IN",1/5/2018,0.55,78,,74
IN099999901,"PORT BLAIR, IN",1/6/2018,0.63,79,,75
IN099999901,"PORT BLAIR, IN",1/7/2018,0.2,81,,76
IN099999901,"PORT BLAIR, IN",1/8/2018,0.2,81,,75
IN099999901,"PORT BLAIR, IN",1/9/2018,0,81,,
IN099999901,"PORT BLAIR, IN",1/10/2018,,81,,76
IN099999901,"PORT BLAIR, IN",1/11/2018,,81,,77
IN099999901,"PORT BLAIR, IN",1/12/2018,,81,,
IN099999901,"PORT BLAIR, IN",1/13/2018,0,79,,
IN099999901,"PORT BLAIR, IN",1/14/2018,0,79,,74
IN099999901,"PORT BLAIR, IN",1/15/2018,0.02,80,,76
IN099999901,"PORT BLAIR, IN",1/16/2018,0,80,,73
IN099999901,"PORT BLAIR, IN",1/17/2018,,81,,77
IN099999901,"PORT BLAIR, IN",1/18/2018,0,78,,
IN099999901,"PORT BLAIR, IN",1/19/2018,,79,,71
IN099999901,"PORT BLAIR, IN",1/20/2018,,80,,72
IN099999901,"PORT BLAIR, IN",1/21/2018,,79,,
IN099999901,"PORT BLAIR, IN",1/22/2018,,80,,73
IN099999901,"PORT BLAIR, IN",1/23/2018,1.38,79,,73
IN099999901,"PORT BLAIR, IN",1/24/2018,0,80,,76
IN099999901,"PORT BLAIR, IN",1/25/2018,,81,,75
IN099999901,"PORT BLAIR, IN",1/26/2018,,81,,
IN099999901,"PORT BLAIR, IN",1/27/2018,0.24,81,,76
IN099999901,"PORT BLAIR, IN",1/28/2018,0,80,,76
IN099999901,"PORT BLAIR, IN",1/29/2018,,79,,
IN099999901,"PORT BLAIR, IN",1/30/2018,,79,,72
IN099999901,"PORT BLAIR, IN",1/31/2018,,78,,71
IN099999901,"PORT BLAIR, IN",2/1/2018,,78,,71
IN099999901,"PORT BLAIR, IN",2/2/2018,,78,,70
IN099999901,"PORT BLAIR, IN",2/3/2018,,81,,76
IN099999901,"PORT BLAIR, IN",2/4/2018,0.67,79,,76
IN099999901,"PORT BLAIR, IN",2/5/2018,0.39,80,,74
IN099999901,"PORT BLAIR, IN",2/6/2018,0.08,81,,
IN099999901,"PORT BLAIR, IN",2/7/2018,0,79,,
IN099999901,"PORT BLAIR, IN",2/8/2018,,79,,72
IN099999901,"PORT BLAIR, IN",2/9/2018,,79,,73
IN099999901,"PORT BLAIR, IN",2/10/2018,,80,,
IN099999901,"PORT BLAIR, IN",2/11/2018,,80,,72
IN099999901,"PORT BLAIR, IN",2/12/2018,,82,,77
IN099999901,"PORT BLAIR, IN",2/13/2018,,78,,
IN099999901,"PORT BLAIR, IN",2/14/2018,,80,,74
IN099999901,"PORT BLAIR, IN",2/15/2018,,81,,74
IN099999901,"PORT BLAIR, IN",2/16/2018,,78,,69
IN099999901,"PORT BLAIR, IN",2/17/2018,,78,,70
IN099999901,"PORT BLAIR, IN",2/18/2018,,80,,72
IN099999901,"PORT BLAIR, IN",2/19/2018,,80,,75
IN099999901,"PORT BLAIR, IN",2/20/2018,,80,,72
IN099999901,"PORT BLAIR, IN",2/21/2018,,81,,76
IN099999901,"PORT BLAIR, IN",2/22/2018,,82,,77
IN099999901,"PORT BLAIR, IN",2/23/2018,,82,,78
IN099999901,"PORT BLAIR, IN",2/24/2018,,83,,79
IN099999901,"PORT BLAIR, IN",2/25/2018,,82,,80
IN099999901,"PORT BLAIR, IN",2/26/2018,,83,89,78
IN099999901,"PORT BLAIR, IN",2/27/2018,,82,,
IN099999901,"PORT BLAIR, IN",2/28/2018,,82,,76
IN099999901,"PORT BLAIR, IN",3/1/2018,,81,,75
IN099999901,"PORT BLAIR, IN",3/2/2018,,82,,74
IN099999901,"PORT BLAIR, IN",3/3/2018,,80,,73
IN099999901,"PORT BLAIR, IN",3/4/2018,,79,,73
IN099999901,"PORT BLAIR, IN",3/5/2018,,80,,71
IN099999901,"PORT BLAIR, IN",3/6/2018,,81,,73
IN099999901,"PORT BLAIR, IN",3/7/2018,,82,,75
IN099999901,"PORT BLAIR, IN",3/8/2018,,83,,77
IN099999901,"PORT BLAIR, IN",3/9/2018,,83,,78
IN099999901,"PORT BLAIR, IN",3/10/2018,,83,,78
IN099999901,"PORT BLAIR, IN",3/11/2018,,83,,79
IN099999901,"PORT BLAIR, IN",3/12/2018,,83,,
IN099999901,"PORT BLAIR, IN",3/13/2018,,81,,
IN099999901,"PORT BLAIR, IN",3/14/2018,,81,,73
IN099999901,"PORT BLAIR, IN",3/15/2018,,80,,72
IN099999901,"PORT BLAIR, IN",3/16/2018,,81,,71
IN099999901,"PORT BLAIR, IN",3/17/2018,,80,,72
IN099999901,"PORT BLAIR, IN",3/18/2018,,81,,72
IN099999901,"PORT BLAIR, IN",3/19/2018,,81,,
IN099999901,"PORT BLAIR, IN",3/20/2018,,81,,72
